brand_name,generic_name,year,drug_class,matched_terms,marketed_name_type,scope_status
Ulticare,"Syringe-Needle,insulin,0.5 Ml",2022,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Ulticare,"Syringe-Needle,insulin,0.5 Ml",2023,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Ulticare,"Syringe-Needle,insulin,0.5 Ml",2024,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Ulticare Insulin Syringe,"Syringe-Needle,insulin,0.5 Ml",2022,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Ulticare Insulin Syringe,"Syringe-Needle,insulin,0.5 Ml",2023,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Ulticare Insulin Syringe,"Syringe-Needle,insulin,0.5 Ml",2024,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Ultra Comfort,"Syringe-Needle,insulin,0.5 Ml",2022,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Ultra Comfort,"Syringe-Needle,insulin,0.5 Ml",2023,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Ultra-Thin Ii,"Syringe-Needle,insulin,0.5 Ml",2022,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Ultra-Thin Ii,"Syringe-Needle,insulin,0.5 Ml",2023,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Ultra-Thin Ii,"Syringe-Needle,insulin,0.5 Ml",2024,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Ultracare Insulin Syringe,"Syringe-Needle,insulin,0.5 Ml",2022,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Ultracare Insulin Syringe,"Syringe-Needle,insulin,0.5 Ml",2023,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Ultracare Insulin Syringe,"Syringe-Needle,insulin,0.5 Ml",2024,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Vanishpoint,"Syringe-Needle,insulin,0.5 Ml",2022,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Vanishpoint,"Syringe-Needle,insulin,0.5 Ml",2023,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Vanishpoint,"Syringe-Needle,insulin,0.5 Ml",2024,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
